Table 1
,,,,,,,,,,,,,,
,Driver Name,Type,Polarion ID,Title,Reseller Name,Created Date,Approved Date,Start Date/In Progress,Delivery Date,Resolved Date,Resolution,Version Introduced,Was there any known issues after delivery?,Comments
,eimelwsi,Known Issue,IM-106918,Driver not sending individual O records for each ordered test on a single sample,,2022-04-25,,,2022-05-19,,2023-10-02 12:47,8.00.0001 06/05/2020,,
,copwlabi,Known Issue,IM-107146,Mapping of Test Code Sub ID always returns Default code instead of Ordered code,Copan,2022-04-29,,,2022-06-13,,2022-07-19 16:05,v8.00.0002 (08/02/2017),,
,abdgtwma,Inquiry,IM-107165,Support marking a test out of service based on multiple IM/LIS tests,Abbott,2022-05-02,2022-05-06,2022-05-06,2022-05-24,,2022-06-22 13:46,,,
,diighl7l,Known Issue,IM-107210,ID and Susceptibility Micro Result 1st OBX is missing isolate and incorrectly formatted,DI,2022-05-03,,,2022-05-26,,2023-06-15 09:50,v8.00.0039 (01/25/2022),,
,sisixlil,Known Issue,IM-107311,Hold Until Complete Logic does not send Test Comments to the LIS,Sunquest,2022-05-06,,,2022-08-03,,2023-12-01 16:05,v8.00.0001 (08/25/2017),,
,bdcclrsi,Inquiry,IM-107388,Add IRIS compatibility to BD FACSCanto/SPA,,2022-05-10,2022-05-13,2022-05-13,2023-07-06,,2023-07-06 10:55,,,
,brlqccnq,Inquiry,IM-107389,Add IRIS compatibility to Bio Rad URT integration,Bio-Rad,2022-05-10,2022-05-13,2022-05-13,2023-03-23,,2023-03-23 13:24,,,
,diimauli,Inquiry,IM-107392,"Add IRIS compatibility to Data Innovations LLC, MA Utility",DI,2022-05-10,2022-05-13,2022-05-13,2023-07-31,,2023-08-11 13:35,,,
,diiwkltl,Inquiry,IM-107393,"Add IRIS compatibility to Data Innovations, Inc. Worklist Generator",DI,2022-05-10,2022-05-13,2022-05-13,2023-03-28,,2023-03-28 08:46,,,
,seelif7i,Inquiry,IM-107442,NDR Seegene Launcher - HL7 HTTP Orders only,,2022-05-11,2022-06-20,2022-06-23,2022-09-16,,,,,
,sarlasii,Inquiry,IM-107484,sarlasii - Update driver to rebuild order message when receiving results from another connection.,,2022-05-12,2022-05-17,2022-05-23,2022-06-09,,,,,
,bkmdxoni,Inquiry,IM-107669,DDR bkmdxoni - M103 messages,Beckman,2022-05-17,2022-08-23,2022-08-24,2022-09-14,,2023-05-31 00:51,8.00.0001,,
,qdlvpn7i,Inquiry,IM-107766,DDR qdlvpn7i - include SID in error message,,2022-05-19,2022-09-20,2022-09-21,2022-10-13,,2023-04-19 08:11,v8.00.0010,,
,tfctmgti,Inquiry,IM-108060,NDR Thermofisher Taqman Genotyper,Thermo,2022-06-01,2022-09-08,2022-11-03,2022-12-16,,2023-04-24 11:39,new driver,,
,crnshl7l,Inquiry,IM-108135,DDR - crnshl7l - add aliquot handling for Inpeco,Cerner,2022-06-03,2022-06-09,2022-06-09,2022-06-30,,2022-08-31 09:32,,,
,abdinfoi,Inquiry,IM-108142,DDR for abdinfoi,Abbott,2022-06-03,2022-09-20,2022-09-21,2022-09-30,,2023-03-20 14:49,v8.00.0001_dev31,,
,inpdmsaa,Inquiry,IM-108182,DDR - inpdmsaa - Process INDICES Manufacturer Record,Abbott,2022-06-07,2022-07-25,2022-08-03,2022-09-29,,,,,
,gnppanti,Known Issue,IM-108196,457=This key is already associated with an element of this collection is generated when opening the configuration screen of Gen-Probe PANTHER,Grifols,2022-06-08,,,2022-07-12,,2023-05-19 12:16,v8.00.0012 (08/26/2021),,
,ilastari,Inquiry,IM-108262,NDR ACL AcuStar - ASTM bi-direc w/ query,,2022-06-10,2022-06-20,2022-06-30,2022-10-07,,2023-05-31 10:07,new driver,,
,sysrouta,Inquiry,IM-108338,Urgent DDR - sysrouta - build OBR.16 - Container and Fluid,Sysmex,2022-06-15,2022-06-21,2022-06-21,2022-06-30,,,8.00.0001,,
,diiastmi,Inquiry,IM-108350,DDR - Standard ASTM Instrument Driver is only building Action Code in O.12 if configured with Query Mode = Yes,DI,2022-06-15,2022-06-21,2022-06-22,2022-06-28,,2023-09-22 10:00,v8.00.0014,,
,evrbdivi,Inquiry,IM-108400,Pending NDR - BlueDiver - CSV worklist input XML output,,2022-06-17,2022-11-30,2022-12-21,2023-02-09,,,,,
,qmadrasi,Inquiry,IM-108622,NDR - dRAST - ASTM with Micro - File I/O,,2022-06-22,2022-06-24,2022-06-30,2022-08-18,,,,,
,cliwnpel,Inquiry,IM-108625,Additional Profile Codes required for Blood Transfusion results,Clinisys,2022-06-22,2022-06-23,2022-06-30,2022-07-13,,2022-07-13 16:43,,,
,crnshl7l,Inquiry,IM-108704,Build Isolate number into parent OBR.25 for ID / ID and Susceptibility results,Cerner,2022-06-23,2022-06-23,2022-06-28,2022-09-16,,2022-11-18 02:02,,,
,diicfgdl,Inquiry,IM-108779,DDR - diicfgdl - Update the Configurable Delimited LIS driver to build multiple tests per line,DI,2022-06-24,2022-06-28,2022-08-19,2022-09-01,,2022-12-22 09:39,,,
,bkmdxoni,Known Issue,IM-108859,bkmdxoni - Driver does not separate order messages correctly,Beckman,2022-06-28,,,2022-07-01,,2023-06-22 11:58,v8.00.0002,,
,eschl7ml,Inquiry,IM-109033,DDR for eschl7ml,Epic,2022-06-30,2022-09-20,2022-12-05,2023-01-17,,2023-02-09 16:37,V8.00.0042,,
,dadcogai,Inquiry,IM-109101,Parse/build 'Assay dilution' field for Atellica Coag 360 System compatibility,,2022-07-06,2022-09-02,2022-09-02,2022-10-19,,,,,
,sebphrsi,Inquiry,IM-109145,DDR for sebphrsi,SEBIA Phoresis,2022-07-08,2022-12-14,2022-12-14,2022-12-14,,2022-12-15 03:21,8.00.0033,,
,rch6500i,Inquiry,IM-109197,DDR for rch6500i,Roche,2022-07-13,2022-08-18,2022-08-22,2022-09-23,,2022-10-14 04:49,v8.00.0006,,
,sisixlil,Known Issue,IM-110098,"Error:<SUBSCRIPT>buildord+25^sisixlilbuild ^imtemp(106,""P"",""ordercomments"",""N356000439"",""_Platelets Appear Decreased _Giant Plts Present _PLT Clumps Pre",Sunquest,2022-08-18,,,2022-12-14,,2023-12-01 16:07,v8.00.0004,,
,crnfsi7l,Inquiry,IM-110141,Update Cerner FSI driver,Cerner,2022-08-22,2022-08-30,2022-09-07,2022-09-09,,,,,
,eschl7ml,Inquiry,IM-110147,Remove logic to store and retrieve MSH by connection and sid=^imfd where sid is null.,Epic,2022-08-22,2022-08-30,2022-09-07,2022-09-30,,2023-02-09 16:37,,,
,sebphrsi,Known Issue,IM-110268,sebphrsi - Single pixel peaks cause <DIVIDE> error,SEBIA Phoresis,2022-08-24,,,2022-11-30,,2023-05-31 03:12,v7.00.0007,,
,sysrouta,Inquiry,IM-110391,DDR sysrouta - STA.5 usable in Rules,Sysmex,2022-08-31,2022-10-13,2022-11-07,2022-11-28,,,v8.00.0004_dev03,,
,bkmc600i,Known Issue,IM-110410,DDR for bkmc600i,Beckman,2022-08-31,,,2022-11-16,,2023-05-03 03:42,v8.02.0011,,
,quisavai,Inquiry,IM-110456,NDR - Quidel Savanna - Bi-Directional TCP/IP HL7 Interface,,2022-09-02,2023-01-17,2023-03-23,2023-05-31,,,,,
,bkmsavpl,Inquiry,IM-110466,NDR Savant Pulse LIS - File I/O Uni-directional via sFTP,Beckman,2022-09-05,2022-10-04,2022-10-06,2022-11-29,,2024-02-05 02:41,,,
,menzhl7i,Inquiry,IM-110480,menzhl7i - change behavior with 'Append Result Index in Test Code' option,,2022-09-06,2022-09-06,2022-09-07,2022-09-23,,2023-06-05 11:07,,,
,capprfcl,Inquiry,IM-110504,DDR CAP driver - add crossmap for new codes to replace LOINC codes,,2022-09-06,2022-10-14,2022-10-18,2023-05-05,,2023-05-05 10:40,,,
,capprfcl,Known Issue,IM-110524,capprfcl -  If machine doesn’t have mirror setup its stuck with “On Request” state,,2022-09-07,,,2022-10-31,,2023-05-05 10:41,v8.07.0013,,
,bsttriai,Known Issue,IM-110526,bsttriai - <UNDEFINED> O+18^bsttriaiparse *temp,,2022-09-07,,,2022-09-27,,2022-10-24 12:21,v7.00.0014,,
,mgcbrzsi,Inquiry,IM-110566,Suppress order if PID is undefined,MedGraphics,2022-09-09,2023-10-11,2023-10-11,2023-10-11,,,,,
,smsateli,Inquiry,IM-110587,"smsateli - Add support for rerun orders, replicates, and rack/position data",,2022-09-12,2022-09-13,2022-09-15,2023-03-16,,2023-12-05 10:51,,,
,nifrem2i,Inquiry,IM-110588,"nifrem2i - Support M,103 record in Cennexus and DxA mode",,2022-09-12,2022-10-18,2022-10-20,2022-11-18,,2023-01-19 07:32,,,
,lcafmrci,Inquiry,IM-110702,NDR - Labcorp FMR Flow Cytometry,,2022-09-14,2022-09-20,2022-09-21,2022-10-14,,2022-11-22 11:33,,,
,bvimytci,Inquiry,IM-110901,DDR Myla HL7 bvimytci various changes,bioMerieux,2022-09-21,2022-10-13,2022-10-17,2022-10-28,,2022-12-02 14:51,,,
,ila4000i,Inquiry,IM-110985,DDR ila4000i - build volume into OBR-9,,2022-09-22,2022-10-13,2022-10-17,2022-10-21,,2023-06-05 11:06,,,
,ocdconni,Inquiry,IM-111003,DDR for ocdconni,Ortho,2022-09-23,2022-11-03,2022-11-15,2022-12-02,,2023-07-13 07:59,v8.00.0001_dev49,,
,sysuwami,Known Issue,IM-111122,Cancel test order message should contain only cancelled tests and not all pending tests,Sysmex,2022-09-27,,,2023-02-23,,2023-04-18 10:46,v8.00.0001,,
,rchcb58i,Inquiry,IM-111130,NDR for cobas 5800,Roche,2022-09-27,2022-11-02,2022-11-22,2023-03-03,,2023-03-03 19:48,,,
,ila4000i,Inquiry,IM-111237,ila4000i - Supporte demographie query in GEMWEB Server mode,,2022-09-30,2022-10-21,2022-10-21,2022-11-22,,2023-06-05 11:06,,,
,dsbliasi,Inquiry,IM-111279,dsbliasi - handle repeat in duplicate,,2022-10-03,2023-08-22,2023-08-22,2023-08-25,,2023-08-28 09:10,,,
,cvndm96i,Inquiry,IM-111298,DDR for Cellavision Driver,,2022-10-03,2023-01-17,2023-02-02,2023-03-02,,2023-11-17 15:03,,,
